age,hours-per-week,workclass,education,marital-status,occupation,relationship,sex,native-country,income
59,40,1.0,11.0,6.0,4.0,4.0,1.0,38.0,0.0
61,40,3.0,4.0,4.0,5.0,1.0,1.0,38.0,0.0
60,40,6.0,9.0,0.0,9.0,1.0,0.0,38.0,0.0
49,50,4.0,15.0,0.0,3.0,1.0,1.0,38.0,0.0
34,40,3.0,9.0,3.0,6.0,1.0,1.0,38.0,0.0
25,35,3.0,9.0,4.0,9.0,3.0,0.0,38.0,0.0
55,45,3.0,15.0,4.0,0.0,1.0,0.0,38.0,0.0
59,40,1.0,11.0,5.0,10.0,2.0,0.0,38.0,0.0
28,40,6.0,15.0,5.0,3.0,3.0,1.0,38.0,0.0
43,36,3.0,8.0,6.0,9.0,1.0,0.0,38.0,0.0
56,60,5.0,12.0,0.0,11.0,4.0,0.0,38.0,0.0
41,40,3.0,11.0,0.0,2.0,1.0,1.0,38.0,0.0
42,40,3.0,11.0,4.0,0.0,2.0,0.0,37.0,0.0
28,40,3.0,14.0,4.0,9.0,1.0,1.0,1.0,0.0
40,35,5.0,14.0,0.0,7.0,1.0,0.0,38.0,0.0
69,40,3.0,9.0,6.0,9.0,1.0,1.0,38.0,1.0
66,40,1.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
69,40,3.0,4.0,2.0,6.0,0.0,1.0,38.0,0.0
55,40,1.0,12.0,2.0,9.0,5.0,0.0,38.0,0.0
57,40,0.0,11.0,4.0,0.0,1.0,1.0,38.0,0.0
20,10,5.0,15.0,4.0,4.0,3.0,1.0,38.0,0.0
33,84,3.0,11.0,0.0,2.0,1.0,1.0,38.0,0.0
30,40,5.0,15.0,4.0,11.0,2.0,1.0,34.0,0.0
40,48,3.0,9.0,4.0,12.0,1.0,0.0,29.0,0.0
38,55,3.0,15.0,5.0,6.0,1.0,1.0,38.0,1.0
46,38,6.0,7.0,0.0,0.0,4.0,1.0,38.0,1.0
29,45,3.0,9.0,4.0,3.0,1.0,0.0,38.0,1.0
57,40,0.0,9.0,4.0,0.0,1.0,1.0,38.0,0.0
39,42,3.0,11.0,4.0,2.0,3.0,1.0,38.0,1.0
47,40,3.0,9.0,0.0,3.0,1.0,1.0,38.0,1.0
26,45,3.0,9.0,4.0,3.0,1.0,1.0,38.0,1.0
27,50,5.0,11.0,4.0,2.0,1.0,1.0,38.0,0.0
23,40,3.0,9.0,4.0,9.0,3.0,0.0,38.0,1.0
34,50,3.0,12.0,4.0,9.0,1.0,1.0,38.0,0.0
33,42,3.0,2.0,0.0,2.0,1.0,1.0,38.0,0.0
38,60,1.0,12.0,4.0,9.0,1.0,0.0,38.0,0.0
57,38,3.0,15.0,6.0,0.0,4.0,0.0,38.0,1.0
36,70,3.0,11.0,4.0,3.0,1.0,1.0,38.0,0.0
44,40,0.0,9.0,0.0,12.0,1.0,1.0,38.0,1.0
49,50,6.0,10.0,4.0,3.0,1.0,0.0,38.0,1.0
44,60,4.0,15.0,4.0,11.0,1.0,1.0,38.0,0.0
55,62,3.0,15.0,6.0,4.0,1.0,1.0,38.0,1.0
45,44,3.0,11.0,0.0,4.0,1.0,1.0,38.0,1.0
48,40,3.0,11.0,0.0,3.0,1.0,0.0,38.0,1.0
31,45,3.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
55,40,1.0,11.0,2.0,9.0,2.0,0.0,38.0,1.0
70,40,5.0,15.0,2.0,3.0,0.0,1.0,38.0,1.0
70,8,5.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
73,40,3.0,9.0,2.0,9.0,0.0,1.0,38.0,1.0
72,28,5.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
31,40,3.0,11.0,5.0,6.0,4.0,0.0,38.0,0.0
28,35,3.0,0.0,6.0,0.0,4.0,0.0,38.0,0.0
23,40,5.0,9.0,4.0,0.0,3.0,1.0,38.0,1.0
49,40,1.0,6.0,6.0,5.0,4.0,1.0,38.0,1.0
27,40,1.0,15.0,4.0,10.0,1.0,1.0,38.0,1.0
90,40,3.0,11.0,4.0,7.0,1.0,1.0,38.0,0.0
68,30,3.0,11.0,6.0,0.0,1.0,0.0,38.0,0.0
65,59,3.0,11.0,0.0,0.0,4.0,0.0,1.0,0.0
65,10,3.0,11.0,6.0,9.0,4.0,0.0,38.0,0.0
67,5,3.0,9.0,0.0,3.0,1.0,0.0,38.0,0.0
66,25,1.0,9.0,6.0,9.0,1.0,0.0,38.0,0.0
24,24,3.0,15.0,4.0,0.0,1.0,1.0,38.0,0.0
44,35,5.0,15.0,0.0,6.0,1.0,1.0,38.0,0.0
35,40,3.0,15.0,4.0,0.0,3.0,0.0,38.0,0.0
20,18,3.0,7.0,4.0,7.0,3.0,0.0,38.0,0.0
38,40,3.0,11.0,0.0,2.0,1.0,1.0,38.0,0.0
39,40,3.0,15.0,4.0,7.0,3.0,0.0,38.0,0.0
32,40,3.0,15.0,4.0,6.0,2.0,0.0,14.0,0.0
42,40,3.0,5.0,4.0,5.0,1.0,1.0,38.0,0.0
63,40,3.0,11.0,0.0,9.0,1.0,0.0,38.0,0.0
42,60,4.0,12.0,0.0,3.0,4.0,1.0,18.0,1.0
64,40,3.0,1.0,2.0,2.0,0.0,1.0,38.0,0.0
28,40,3.0,5.0,2.0,5.0,0.0,1.0,32.0,0.0
41,84,4.0,8.0,2.0,11.0,0.0,1.0,25.0,0.0
41,40,5.0,5.0,2.0,2.0,0.0,1.0,38.0,0.0
58,18,5.0,3.0,2.0,13.0,0.0,1.0,38.0,0.0
59,40,6.0,15.0,2.0,3.0,0.0,1.0,38.0,0.0
34,12,5.0,11.0,2.0,4.0,5.0,0.0,38.0,0.0
45,45,3.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
29,40,3.0,11.0,2.0,0.0,5.0,0.0,38.0,0.0
47,52,3.0,0.0,2.0,11.0,0.0,1.0,38.0,0.0
40,40,3.0,15.0,2.0,6.0,0.0,1.0,38.0,0.0
47,50,5.0,4.0,2.0,11.0,0.0,1.0,25.0,0.0
63,45,3.0,9.0,2.0,9.0,0.0,1.0,38.0,0.0
41,40,5.0,11.0,2.0,5.0,0.0,1.0,38.0,0.0
34,40,3.0,15.0,2.0,13.0,0.0,1.0,38.0,0.0
66,40,3.0,9.0,2.0,9.0,0.0,1.0,38.0,1.0
65,10,5.0,15.0,2.0,3.0,0.0,1.0,38.0,1.0
70,40,3.0,11.0,2.0,5.0,0.0,1.0,38.0,1.0
75,50,5.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
65,40,6.0,11.0,2.0,0.0,0.0,1.0,38.0,1.0
65,40,0.0,15.0,2.0,3.0,0.0,1.0,38.0,1.0
73,50,3.0,15.0,2.0,9.0,0.0,1.0,38.0,1.0
60,25,3.0,9.0,2.0,9.0,0.0,1.0,34.0,0.0
68,40,5.0,8.0,2.0,9.0,0.0,1.0,38.0,0.0
74,20,5.0,11.0,2.0,11.0,0.0,1.0,38.0,0.0
43,72,3.0,4.0,2.0,6.0,5.0,0.0,38.0,0.0
19,55,5.0,1.0,2.0,2.0,3.0,1.0,38.0,0.0
37,40,5.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
45,40,0.0,7.0,0.0,0.0,4.0,1.0,29.0,0.0
64,60,3.0,12.0,2.0,9.0,0.0,1.0,2.0,0.0
30,40,3.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
51,60,5.0,15.0,2.0,9.0,5.0,0.0,1.0,0.0
35,40,3.0,1.0,2.0,2.0,0.0,1.0,38.0,0.0
29,20,3.0,11.0,2.0,0.0,5.0,0.0,38.0,0.0
34,40,3.0,15.0,2.0,0.0,5.0,0.0,38.0,0.0
41,60,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
35,45,3.0,15.0,2.0,2.0,0.0,1.0,38.0,0.0
26,40,3.0,15.0,2.0,0.0,0.0,1.0,38.0,0.0
54,50,3.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
52,40,1.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
50,20,5.0,11.0,2.0,4.0,0.0,1.0,38.0,0.0
31,40,3.0,15.0,2.0,0.0,0.0,1.0,38.0,0.0
38,40,0.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
30,40,3.0,15.0,2.0,2.0,0.0,1.0,38.0,0.0
34,40,1.0,9.0,2.0,9.0,0.0,1.0,38.0,0.0
31,57,3.0,15.0,2.0,11.0,0.0,1.0,38.0,0.0
52,38,3.0,11.0,2.0,6.0,0.0,1.0,38.0,0.0
54,40,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
38,44,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
39,40,3.0,11.0,2.0,6.0,0.0,1.0,38.0,0.0
29,40,3.0,8.0,2.0,12.0,0.0,1.0,38.0,0.0
45,40,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
34,55,3.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
38,40,3.0,11.0,2.0,2.0,0.0,1.0,30.0,0.0
39,40,3.0,0.0,2.0,2.0,0.0,1.0,38.0,0.0
61,20,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
43,40,3.0,1.0,2.0,13.0,0.0,1.0,38.0,0.0
35,40,3.0,15.0,2.0,5.0,0.0,1.0,38.0,0.0
46,50,3.0,15.0,2.0,11.0,0.0,1.0,38.0,0.0
38,40,3.0,11.0,2.0,5.0,0.0,1.0,38.0,0.0
42,48,5.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
34,10,3.0,7.0,2.0,12.0,0.0,1.0,38.0,0.0
29,40,3.0,5.0,2.0,4.0,0.0,1.0,38.0,0.0
32,30,3.0,1.0,2.0,2.0,0.0,1.0,38.0,0.0
60,34,3.0,11.0,2.0,10.0,0.0,1.0,38.0,0.0
49,40,1.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
53,45,1.0,11.0,2.0,7.0,0.0,1.0,38.0,0.0
56,40,3.0,5.0,2.0,5.0,0.0,1.0,38.0,0.0
48,40,3.0,1.0,2.0,13.0,0.0,1.0,38.0,0.0
32,40,0.0,9.0,2.0,9.0,0.0,1.0,19.0,0.0
42,40,5.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
32,42,3.0,7.0,2.0,9.0,0.0,1.0,38.0,0.0
28,40,1.0,7.0,2.0,10.0,0.0,1.0,8.0,0.0
26,40,3.0,8.0,2.0,2.0,0.0,1.0,38.0,0.0
59,50,3.0,9.0,2.0,3.0,0.0,1.0,38.0,0.0
47,30,5.0,9.0,2.0,9.0,0.0,1.0,38.0,0.0
26,40,3.0,9.0,2.0,9.0,0.0,1.0,38.0,0.0
41,60,3.0,11.0,2.0,2.0,0.0,1.0,38.0,0.0
36,40,3.0,11.0,2.0,2.0,3.0,0.0,38.0,0.0
45,55,3.0,9.0,2.0,11.0,0.0,1.0,38.0,0.0
30,40,3.0,7.0,2.0,9.0,0.0,1.0,38.0,0.0
36,40,3.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
34,40,4.0,11.0,2.0,3.0,0.0,1.0,38.0,0.0
53,40,3.0,11.0,2.0,13.0,0.0,1.0,38.0,0.0
51,45,3.0,11.0,2.0,11.0,0.0,1.0,38.0,0.0
47,45,5.0,10.0,2.0,13.0,0.0,1.0,38.0,0.0
19,40,3.0,11.0,4.0,9.0,4.0,1.0,38.0,0.0
30,42,3.0,11.0,4.0,0.0,4.0,1.0,38.0,0.0
20,40,3.0,11.0,4.0,7.0,4.0,1.0,38.0,0.0
42,60,0.0,12.0,0.0,0.0,1.0,1.0,38.0,0.0
31,40,3.0,1.0,4.0,2.0,1.0,1.0,38.0,0.0
33,40,3.0,9.0,4.0,5.0,1.0,1.0,38.0,0.0
25,30,3.0,7.0,4.0,12.0,1.0,0.0,38.0,0.0
20,40,3.0,11.0,4.0,7.0,1.0,1.0,38.0,0.0
23,40,3.0,11.0,4.0,0.0,3.0,1.0,38.0,0.0
55,40,3.0,11.0,5.0,9.0,1.0,0.0,38.0,0.0
41,50,5.0,15.0,0.0,2.0,1.0,1.0,38.0,0.0
54,35,5.0,11.0,6.0,2.0,1.0,1.0,38.0,0.0
25,50,3.0,11.0,4.0,2.0,1.0,1.0,38.0,0.0
19,40,3.0,15.0,4.0,0.0,3.0,0.0,38.0,0.0
24,37,3.0,11.0,4.0,0.0,1.0,0.0,38.0,0.0
56,65,0.0,9.0,4.0,13.0,1.0,1.0,38.0,0.0
21,40,1.0,15.0,4.0,7.0,1.0,0.0,38.0,0.0
34,40,3.0,11.0,4.0,6.0,1.0,1.0,38.0,0.0
19,40,3.0,11.0,4.0,0.0,3.0,1.0,38.0,0.0
21,45,3.0,15.0,4.0,9.0,1.0,1.0,38.0,0.0
48,40,3.0,11.0,5.0,0.0,1.0,0.0,38.0,0.0
34,40,3.0,9.0,4.0,7.0,1.0,1.0,38.0,0.0
31,40,3.0,11.0,4.0,4.0,1.0,1.0,38.0,0.0
36,40,3.0,11.0,4.0,7.0,1.0,0.0,38.0,0.0
27,40,3.0,11.0,4.0,7.0,1.0,1.0,38.0,0.0
27,40,3.0,15.0,4.0,2.0,3.0,1.0,29.0,0.0
35,65,3.0,9.0,0.0,11.0,1.0,0.0,38.0,0.0
31,60,5.0,9.0,3.0,3.0,1.0,1.0,38.0,0.0
27,40,0.0,11.0,4.0,2.0,1.0,1.0,38.0,0.0
28,40,1.0,7.0,4.0,0.0,1.0,0.0,38.0,0.0
42,46,3.0,11.0,0.0,13.0,1.0,1.0,38.0,0.0
44,45,3.0,15.0,5.0,3.0,1.0,1.0,8.0,0.0
41,56,3.0,9.0,0.0,11.0,1.0,1.0,38.0,0.0
28,35,3.0,9.0,4.0,12.0,1.0,0.0,38.0,0.0
41,40,0.0,11.0,4.0,0.0,1.0,0.0,38.0,0.0
35,40,3.0,0.0,6.0,7.0,1.0,0.0,38.0,0.0
58,45,3.0,12.0,0.0,0.0,1.0,0.0,38.0,0.0
40,48,3.0,11.0,0.0,6.0,1.0,1.0,38.0,0.0
31,60,3.0,8.0,4.0,13.0,3.0,1.0,38.0,0.0
30,40,3.0,11.0,4.0,11.0,1.0,0.0,38.0,0.0
32,40,3.0,15.0,5.0,12.0,1.0,1.0,38.0,0.0
25,40,3.0,15.0,4.0,0.0,1.0,1.0,38.0,0.0
34,40,3.0,11.0,4.0,13.0,3.0,1.0,38.0,0.0
56,40,3.0,15.0,0.0,3.0,1.0,0.0,38.0,0.0
45,40,3.0,11.0,0.0,7.0,1.0,1.0,38.0,0.0
50,40,3.0,11.0,4.0,0.0,1.0,1.0,38.0,0.0
27,40,3.0,0.0,4.0,11.0,2.0,1.0,38.0,0.0
51,40,3.0,15.0,2.0,11.0,0.0,1.0,38.0,1.0
40,60,3.0,7.0,2.0,12.0,0.0,1.0,38.0,1.0
41,65,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
49,45,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
37,40,3.0,8.0,2.0,2.0,0.0,1.0,38.0,1.0
36,45,4.0,9.0,2.0,3.0,5.0,0.0,38.0,1.0
35,80,3.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
29,25,4.0,11.0,2.0,11.0,5.0,0.0,38.0,1.0
50,40,3.0,9.0,2.0,9.0,5.0,0.0,38.0,1.0
46,40,3.0,9.0,2.0,11.0,0.0,1.0,38.0,1.0
44,45,5.0,11.0,2.0,3.0,0.0,1.0,38.0,1.0
42,40,1.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
38,50,0.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
45,55,3.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
43,60,1.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
47,60,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
58,50,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
48,40,3.0,14.0,2.0,12.0,0.0,1.0,38.0,1.0
42,48,1.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
55,50,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
51,40,3.0,0.0,2.0,11.0,0.0,1.0,38.0,1.0
32,40,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
45,50,1.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
56,44,3.0,12.0,2.0,2.0,0.0,1.0,38.0,1.0
38,60,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
45,50,3.0,8.0,2.0,11.0,0.0,1.0,38.0,1.0
49,40,3.0,12.0,2.0,9.0,5.0,0.0,38.0,1.0
36,40,3.0,11.0,2.0,9.0,0.0,1.0,38.0,1.0
49,40,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
30,40,3.0,10.0,2.0,9.0,0.0,1.0,2.0,1.0
42,50,4.0,14.0,2.0,9.0,0.0,1.0,38.0,1.0
55,40,3.0,12.0,2.0,3.0,0.0,1.0,38.0,1.0
34,45,3.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
54,50,3.0,10.0,2.0,9.0,0.0,1.0,38.0,1.0
42,70,5.0,9.0,2.0,3.0,0.0,1.0,38.0,1.0
25,40,1.0,9.0,2.0,9.0,0.0,1.0,38.0,1.0
55,45,4.0,11.0,2.0,3.0,0.0,1.0,38.0,1.0
58,50,6.0,12.0,2.0,9.0,0.0,1.0,38.0,1.0
